date,value
25/08/2022,12.4
25/08/2022,14.6
25/08/2022,16.7
25/08/2022,19.1
25/08/2022,20.7
25/08/2022,22
25/08/2022,22.9
25/08/2022,23.6
25/08/2022,23.7
25/08/2022,22.9
25/08/2022,22.7
25/08/2022,21.1
25/08/2022,18.9
25/08/2022,17.6
25/08/2022,16.8
25/08/2022,15.9
26/08/2022,15
26/08/2022,14.2
26/08/2022,13.7
26/08/2022,13.1
26/08/2022,12.8
26/08/2022,11.9
26/08/2022,11.1
26/08/2022,10.7
26/08/2022,11.8
26/08/2022,13.7
26/08/2022,21.4
26/08/2022,22.7
26/08/2022,22.2
26/08/2022,17.1
26/08/2022,16.7
26/08/2022,16.5
26/08/2022,16.2
26/08/2022,16.3
26/08/2022,15.8
26/08/2022,15.3
26/08/2022,15.2
27/08/2022,14.3
27/08/2022,13.6
27/08/2022,13
27/08/2022,12.2
27/08/2022,11.8
27/08/2022,11.5
27/08/2022,11.2
27/08/2022,10.8
27/08/2022,11.3
27/08/2022,13.6
27/08/2022,15.8
27/08/2022,17.6
27/08/2022,19.2
27/08/2022,20.8
27/08/2022,22.1
27/08/2022,22.8
27/08/2022,23.6
27/08/2022,23.4
27/08/2022,22.8
27/08/2022,21.8
27/08/2022,19.5
27/08/2022,17.7
27/08/2022,17.2
27/08/2022,17.7
28/08/2022,16.2
28/08/2022,15.3
28/08/2022,15
28/08/2022,14.4
28/08/2022,14.5
28/08/2022,14.6
28/08/2022,14.4
28/08/2022,14.5
28/08/2022,14.7
28/08/2022,15.7
28/08/2022,16.4
28/08/2022,17.7
28/08/2022,19.6
28/08/2022,20.8
28/08/2022,22.3
28/08/2022,23.1
28/08/2022,24
28/08/2022,24.4
28/08/2022,22.9
28/08/2022,20.4
28/08/2022,19.2
28/08/2022,18.5
28/08/2022,17.9
28/08/2022,17.1
29/08/2022,16.1
29/08/2022,15.4
29/08/2022,14.7
29/08/2022,14.2
29/08/2022,13.4
29/08/2022,13.1
29/08/2022,12.5
29/08/2022,12
29/08/2022,12.6
29/08/2022,15.3
29/08/2022,17.2
29/08/2022,18.3
29/08/2022,19.2
29/08/2022,20.1
29/08/2022,20.4
29/08/2022,21.6
29/08/2022,22.9
29/08/2022,22.9
29/08/2022,21.1
29/08/2022,19.2
29/08/2022,18.4
29/08/2022,18.1
29/08/2022,17.4
29/08/2022,16.3
30/08/2022,16.2
30/08/2022,16.1
30/08/2022,15.3
30/08/2022,15
30/08/2022,14.5
30/08/2022,13.9
30/08/2022,12.8
30/08/2022,12.2
30/08/2022,13.1
30/08/2022,15.5
30/08/2022,17.7
30/08/2022,19.3
30/08/2022,20.2
30/08/2022,20.5
30/08/2022,21.7
30/08/2022,23.3
30/08/2022,23.4
30/08/2022,20.2
30/08/2022,17.8
30/08/2022,17.8
30/08/2022,17.4
30/08/2022,17
30/08/2022,16.8
30/08/2022,16.6
31/08/2022,16.5
31/08/2022,16.1
31/08/2022,15.8
31/08/2022,15.8
31/08/2022,15.4
31/08/2022,14.5
31/08/2022,13.9
31/08/2022,13.8
31/08/2022,14.1
31/08/2022,16
31/08/2022,17.8
31/08/2022,19.1
31/08/2022,20.6
31/08/2022,22.2
31/08/2022,23.4
31/08/2022,24.3
31/08/2022,24.3
31/08/2022,23.6
31/08/2022,22.7
31/08/2022,21.2
31/08/2022,19.5
31/08/2022,18
31/08/2022,17.5
31/08/2022,17.2
01/09/2022,16.3
01/09/2022,16.3
01/09/2022,16.4
01/09/2022,15.7
01/09/2022,14.5
01/09/2022,13.3
01/09/2022,12.6
01/09/2022,11.7
01/09/2022,12.7
01/09/2022,14.6
01/09/2022,16.7
01/09/2022,18.6
01/09/2022,20.5
01/09/2022,21.7
01/09/2022,22.9
01/09/2022,23.8
01/09/2022,24
01/09/2022,23.7
01/09/2022,22.9
01/09/2022,21.2
01/09/2022,18.9
01/09/2022,17.4
01/09/2022,16.7
01/09/2022,16
02/09/2022,15.6
02/09/2022,14.8
02/09/2022,15.2
02/09/2022,15.5
02/09/2022,14.7
02/09/2022,14.4
02/09/2022,13.9
02/09/2022,13.5
02/09/2022,14
02/09/2022,16.1
02/09/2022,17.8
02/09/2022,19.1
02/09/2022,20.1
02/09/2022,21.1
02/09/2022,22.1
02/09/2022,22.1
02/09/2022,22.2
02/09/2022,21.6
02/09/2022,21
02/09/2022,19.5
02/09/2022,18.3
02/09/2022,17.2
02/09/2022,16.5
02/09/2022,15.8
03/09/2022,15.2
03/09/2022,15
03/09/2022,14.3
03/09/2022,14
03/09/2022,14
03/09/2022,13.8
03/09/2022,14.2
03/09/2022,14.2
03/09/2022,14.2
03/09/2022,15.1
03/09/2022,16
03/09/2022,17.8
03/09/2022,19.3
03/09/2022,19.5
03/09/2022,20.3
03/09/2022,20.3
03/09/2022,21
03/09/2022,20.4
03/09/2022,19.2
03/09/2022,17.9
03/09/2022,17.2
03/09/2022,16.5
03/09/2022,16.3
03/09/2022,15.6
04/09/2022,14.9
04/09/2022,14.9
04/09/2022,14.8
04/09/2022,14
04/09/2022,13.4
04/09/2022,12.9
04/09/2022,12.3
04/09/2022,12.4
04/09/2022,13.7
04/09/2022,15.6
04/09/2022,18.2
04/09/2022,19.8
04/09/2022,20.7
04/09/2022,22.1
04/09/2022,21.8
04/09/2022,21.9
04/09/2022,22.5
04/09/2022,21.3
04/09/2022,19.3
04/09/2022,17.8
04/09/2022,17.7
04/09/2022,17.4
04/09/2022,16.3
04/09/2022,15.8
05/09/2022,15.4
05/09/2022,15
05/09/2022,14.6
05/09/2022,14.4
05/09/2022,14.5
05/09/2022,14.3
05/09/2022,14
05/09/2022,14.1
05/09/2022,14.7
05/09/2022,16.9
05/09/2022,17.9
05/09/2022,18.7
05/09/2022,20.6
05/09/2022,21.3
05/09/2022,22
05/09/2022,22.2
05/09/2022,22.3
05/09/2022,20
05/09/2022,19.2
05/09/2022,17.8
05/09/2022,16.2
05/09/2022,16
05/09/2022,15.4
05/09/2022,15.6
06/09/2022,15.8
06/09/2022,15.6
06/09/2022,15.2
06/09/2022,15
06/09/2022,14.8
06/09/2022,14.5
06/09/2022,14
06/09/2022,14
06/09/2022,14.1
06/09/2022,14.9
06/09/2022,16
06/09/2022,17.5
06/09/2022,18.9
06/09/2022,19.9
06/09/2022,21.3
06/09/2022,20.7
06/09/2022,18.7
06/09/2022,19.2
06/09/2022,17.3
06/09/2022,16
06/09/2022,15.5
06/09/2022,14.8
06/09/2022,13.8
06/09/2022,13.8
07/09/2022,13.9
07/09/2022,13.8
07/09/2022,13.8
07/09/2022,13.9
07/09/2022,13.9
07/09/2022,13.8
07/09/2022,13.8
07/09/2022,13.8
07/09/2022,13.9
07/09/2022,14.8
07/09/2022,16.1
07/09/2022,17.6
07/09/2022,18.7
07/09/2022,20
07/09/2022,21.2
07/09/2022,21.7
07/09/2022,21.7
07/09/2022,21.4
07/09/2022,20.3
07/09/2022,19
07/09/2022,16.8
07/09/2022,16.1
07/09/2022,16.2
07/09/2022,15.3
08/09/2022,15.1
08/09/2022,14.6
08/09/2022,13.9
08/09/2022,13.9
08/09/2022,14
08/09/2022,14
08/09/2022,13.8
08/09/2022,13.8
08/09/2022,13.8
08/09/2022,14.4
08/09/2022,15.6
08/09/2022,16.8
08/09/2022,18.4
08/09/2022,19.3
08/09/2022,19.6
08/09/2022,20.1
08/09/2022,20.1
08/09/2022,20.3
08/09/2022,19.3
08/09/2022,18.2
08/09/2022,17.2
08/09/2022,16.2
08/09/2022,15.7
08/09/2022,15
09/09/2022,14.4
09/09/2022,13.9
09/09/2022,13.7
09/09/2022,13.2
09/09/2022,12.4
09/09/2022,11.4
09/09/2022,10.1
09/09/2022,9.1
09/09/2022,10
09/09/2022,12.7
09/09/2022,15.4
09/09/2022,17.8
09/09/2022,19.6
