AB/2,Rha
2,209.4395102
3,138.2300768
5,85.57147938
5,44.37630961
8,75.48315768
10,79.78648009
10,77.79181809
12,63.46563524
15,63.56245601
25,53.00712242
25,53.43796728
30,50.28203894
45,55.53887013
55,47.15008612
65,53.40137142
75,40.47720052
85,44.13126717
95,86.93123813
110,78.62292726
130,72.56385264
140,76.29473835
150,215.1308013
150,162.5432721
170,124.3285181
190,116.1280928
210,241.7616654
220,402.2568371
240,376.9911184
260,122.6061231
280,363.3320199
300,147.6500389
300,103.690579
320,1507.28468
