Date,value
2014-01-01,0.001
2014-01-01,0.071
2014-01-01,0.442
2014-01-01,0.853
2014-01-01,2.001
2014-01-01,3.251
2014-01-01,3.64
2014-01-01,2.871
2014-01-01,1.81
2014-01-01,1.222
2014-01-01,0.782
2014-01-01,0.312
2014-01-01,0.012
2014-01-02,0.003
2014-01-02,0.138
2014-01-02,0.718
2014-01-02,1.656
2014-01-02,1.898
2014-01-02,1.998
2014-01-02,2.383
2014-01-02,2.138
2014-01-02,1.081
2014-01-02,0.723
2014-01-02,1.03
2014-01-02,0.136
2014-01-02,0.013
2014-01-03,0.09
2014-01-03,0.561
2014-01-03,1.522
2014-01-03,3.003
2014-01-03,3.319
2014-01-03,3.531
2014-01-03,3.503
2014-01-03,2.654
2014-01-03,0.974
2014-01-03,0.831
2014-01-03,0.289
2014-01-03,0.016
2014-01-04,0.143
2014-01-04,0.774
2014-01-04,1.722
2014-01-04,2.654
2014-01-04,3.262
2014-01-04,3.521
2014-01-04,3.412
2014-01-04,2.781
2014-01-04,1.946
2014-01-04,1.08
2014-01-04,0.331
2014-01-04,0.017
2014-01-05,0.001
2014-01-05,0.147
2014-01-05,0.813
2014-01-05,1.794
2014-01-05,2.811
2014-01-05,3.526
2014-01-05,3.653
2014-01-05,3.44
2014-01-05,2.975
2014-01-05,2.041
2014-01-05,1.033
2014-01-05,0.266
2014-01-05,0.012
2014-01-06,0.001
2014-01-06,0.136
2014-01-06,0.672
2014-01-06,1.594
2014-01-06,2.558
2014-01-06,3.346
2014-01-06,3.633
2014-01-06,2.746
2014-01-06,2.838
2014-01-06,2.283
2014-01-06,1.156
2014-01-06,0.392
2014-01-06,0.023
2014-01-07,0.002
2014-01-07,0.119
2014-01-07,0.799
2014-01-07,1.71
2014-01-07,2.621
2014-01-07,2.67
2014-01-07,2.285
2014-01-07,1.833
2014-01-07,2.811
2014-01-07,1.822
2014-01-07,0.87
2014-01-07,0.243
2014-01-07,0.01
2014-01-08,0.126
2014-01-08,0.674
2014-01-08,1.499
