AB/2,Rha
2,209
3,138
5,86
5,44
8,75
10,80
10,78
12,63
15,64
25,53
25,53
30,50
45,56
55,47
65,53
75,40
85,44
95,87
110,79
130,73
140,76
150,215
150,163
170,124
190,116
210,242
220,402
240,377
260,123
280,363
300,148
300,104
320,7157
3,20
4,176
5,80
5,477
8,161
10,302
15,100
25,67
25,630
30,9
40,7
50,39
70,48
80,16
100,128
120,874
130,73
140,76
150,215
150,160
170,108
180,121
190,130
210,177
230,183
250,194
260,154
280,314
290,593
299,490
300,121
300,131
320,6957
3,679
4,403
5,683
5,656
8,267
10,136
13,67
19,53
20,77
28,17
33,46
40,129
58,236
68,68
